Type,Year,Geo,loc_name,Candidate,Votes,Proportion
National Parilament,2024,Constituency,Auki-Langalanga,Cooper Wale (SID),4314,66.2
National Parilament,2024,Constituency,Auki-Langalanga,David Filia (OUR),1348,20.7
National Parilament,2024,Constituency,Auki-Langalanga,Talauburi Anisi (KAD),488,7.5
National Parilament,2024,Constituency,Auki-Langalanga,Obadiah Koti (PLD),257,3.9
National Parilament,2024,Constituency,Auki-Langalanga,Joseph Waleanisia (UP),108,1.7
National Parilament,2024,Constituency,Baegu-Asifola,Tagini Makario (OUR),2391,37.4
National Parilament,2024,Constituency,Baegu-Asifola,Celsus Talifilu (U4C),2147,33.6
National Parilament,2024,Constituency,Baegu-Asifola,Douglas Buga (SIP),1009,15.8
National Parilament,2024,Constituency,Baegu-Asifola,Lionel Kakai (IND),513,8
National Parilament,2024,Constituency,Baegu-Asifola,Macau Kouto (IND),334,5.2
National Parilament,2024,Constituency,Central Guadalcanal,Shanel Agovaka (OUR),3454,43.1
National Parilament,2024,Constituency,Central Guadalcanal,Manengelea Rex (IND),1592,19.8
National Parilament,2024,Constituency,Central Guadalcanal,Denson Denni (KAD),1381,17.2
National Parilament,2024,Constituency,Central Guadalcanal,Celestin Seri (SID),1224,15.3
National Parilament,2024,Constituency,Central Guadalcanal,Keith Rubo (UP),243,3
National Parilament,2024,Constituency,Central Guadalcanal,Mivardo Tuanikebu (PLD),65,0.8
National Parilament,2024,Constituency,Central Guadalcanal,Anitou Nihopara (IND),49,0.6
National Parilament,2024,Constituency,Central Guadalcanal,Comelius Leni (IND),13,0.2
National Parilament,2024,Constituency,Central Honiara,Darcy Lilo (SIP),8223,63.4
National Parilament,2024,Constituency,Central Honiara,Alfred Efona (UP),3632,28
National Parilament,2024,Constituency,Central Honiara,Francis Idu (OUR),669,5.2
National Parilament,2024,Constituency,Central Honiara,Afulia Billy (PFP),321,2.5
National Parilament,2024,Constituency,Central Honiara,Nelson Kile (PAP),46,0.4
National Parilament,2024,Constituency,Central Honiara,Annie Anilabata (PLD),42,0.3
National Parilament,2024,Constituency,Central Honiara,Eddie Hoasi (IND),15,0.1
National Parilament,2024,Constituency,Central Honiara,Noli Dawea (IND),13,0.1
National Parilament,2024,Constituency,Central Honiara,Alick Collin (IND),7,0.1
National Parilament,2024,Constituency,Central Kwara'ae,Ricky Fuo'o (UP),5208,47.9
