id,loc_name,agg,type,Key Statistics: Total Households,Main source of household drinking water: metered SIWA drinking water,Main source of household drinking water: communal standpipe,Main source of household drinking water: private water tank,Main source of household drinking water: communal water tank,Main source of household drinking water: well - protected,Main source of household drinking water: well - unprotected,Main source of household drinking water: river or stream,Main source of household drinking water: bottled water,Main source of household drinking water: other source of drinking water,Main source of household washing water: piped - private,Main source of household washing water: piped - shared,Main source of household washing water: communal standpipe,Main source of household washing water: well - protected,Main source of household washing water: well - unprotected,Main source of household washing water: private water tank,Main source of household washing water: communal water tank,Main source of household washing water: sea water,"Main source of household washing water: river, lake or stream water",Main source of household washing water: other source of washing water,Main type of household toilet facility: flush toilets - private,Main type of household toilet facility: flush toilets - shared,Main type of household toilet facility: water sealed toilets - private,Main type of household toilet facility: water sealed toilets - shared,Main type of household toilet facility: pit latrines - private,Main type of household toilet facility: pit latrines - shared,Main type of household toilet facility: other toilets,Main type of household toilet facility: no toilets,Main source of household lighting: Main Grid,Main source of household lighting: Own Generator,Main source of household lighting: solar,Main source of household lighting: gas,Main source of household lighting: kerosene lamp,Main source of household lighting: coleman lamp,Main source of household lighting: Wood or Coconut,Main source of household lighting: other lighting,Main source of household lighting: no lighting,Main source of household cooking energy: Electricity from Main Grid,Main source of household cooking energy: Kerosene,Main source of household cooking energy: Wood or Coconut,Main source of household cooking energy: Charcoal,Main source of household cooking energy: Gas,Main source of household cooking energy: other cooking fuels,Households involvement in growing food: subsistence only,Households involvement in growing food: sale only,Households involvement in growing food: subsistence and sale,Households involvement in growing food: not growing food,Households involvement in growing food: No response,Households involvement in fishing: subsistence only,Households involvement in fishing: sale only,Households involvement in fishing: subsistence and sale,Households involvement in fishing: Households not fishing,Household money received from remittances: None,Household money received from remittances: unknown or not applicable,Household money received from remittances: 1 - 499 S.I. dollars,Household money received from remittances: 500 - 999 S.I. dollars,Household money received from remittances: 1000 - 1499 S.I. dollars,Household money received from remittances: more than 1500 S.I. dollars,Main source of household income in last 12 months: No income,Main source of household income in last 12 months: Wages Salary,Main source of household income in last 12 months: Own business,Main source of household income in last 12 months: Sale fish crop craft,Main source of household income in last 12 months: Land lease,Main source of household income in last 12 months: House rent,Main source of household income in last 12 months: Remittances,Main source of household income in last 12 months: Other source
1,Choiseul,Province,Total,4712,2,1416,1137,840,14,2,1184,20,97,89,300,1851,199,285,258,67,1,1620,42,188,65,241,52,120,27,603,3416,194,52,478,19,3869,17,2,76,5,8,23,4588,11,74,8,1654,7,2643,271,137,1750,8,1977,977,2792,73,1051,408,209,179,88,892,206,2443,6,16,206,855
10,Honiara,Province,Total,8981,6771,351,861,134,42,235,421,93,73,5504,2295,224,52,219,139,19,0,436,93,4861,825,1194,551,989,307,135,119,5780,31,202,13,2835,36,3,60,21,331,261,4761,131,3281,216,2967,71,600,4806,537,490,58,188,8245,7180,705,267,231,203,395,75,6984,783,393,54,179,48,465
2,Western,Province,Total,13762,37,4151,4596,2426,46,17,1967,83,439,1045,1099,4983,1102,271,1464,100,12,3532,154,1533,209,1681,258,465,125,3499,5992,1665,145,1149,10,10425,19,88,238,23,60,141,12990,109,441,21,4692,73,7662,992,343,5054,67,6311,2330,9452,257,2145,900,530,478,182,3732,618,7518,8,48,410,1246
3,Isabel,Province,Total,5143,23,3314,526,574,43,22,550,9,82,387,859,2452,38,30,70,21,1,1258,27,142,22,372,267,1198,144,2935,63,298,62,870,20,3825,16,3,47,2,5,40,4860,132,104,2,1541,13,3212,204,173,1477,9,2684,973,3480,97,1057,306,146,57,92,907,310,2900,4,18,174,738
4,Central,Province,Total,4905,26,1935,910,862,59,14,899,79,121,289,775,1201,494,1327,77,31,1,659,51,292,36,106,46,8,26,1334,3057,189,33,188,7,4476,0,0,10,2,12,7,4790,0,96,0,1185,12,3559,86,63,1292,9,2468,1136,4121,132,407,127,48,70,66,665,373,2518,1,5,88,1189
5,Rennell-Bell,Province,Total,688,0,0,547,92,5,10,1,18,15,0,0,0,7,28,458,19,0,154,22,17,3,154,4,397,100,13,0,3,1,515,0,145,0,0,12,12,0,4,666,0,18,0,485,1,151,29,22,331,0,171,186,303,89,70,81,53,92,114,147,40,244,1,13,82,47
6,Guadalcanal,Province,Total,17163,1089,4558,866,1267,1140,963,6492,77,711,905,2008,2614,1377,939,144,97,7,8900,172,936,752,1283,411,3364,867,4263,5287,1411,229,597,20,14198,20,411,227,50,39,39,16423,21,617,24,6625,125,7918,1297,1198,6375,59,3513,7216,13841,915,1692,362,212,141,538,3978,868,7702,20,102,182,3773
7,Malaita,Province,Total,24421,383,11080,1249,1849,431,94,8089,153,1093,1633,2696,7476,1253,929,335,242,105,9256,496,915,109,1222,287,3787,6691,6346,5064,827,74,2969,48,19211,26,228,963,75,34,77,24016,12,254,28,9257,121,12554,1225,1264,4872,113,6966,12470,18079,848,3291,1215,614,374,1404,2942,1290,11075,15,154,584,6957
8,Makira-Ulawa,Province,Total,7173,31,3582,240,603,37,19,2458,16,187,502,758,2489,43,272,23,13,2,2912,159,238,43,223,314,154,41,2674,3486,265,48,424,8,5735,74,62,471,86,30,8,7068,2,47,18,3335,39,3126,275,398,3529,29,1961,1654,5518,327,734,296,154,144,315,1007,459,3293,14,28,90,1967
9,Temotu,Province,Total,4303,4,1655,448,1043,82,250,335,10,476,54,130,1468,191,849,322,209,388,559,133,99,47,89,89,40,11,480,3448,116,8,532,2,3431,22,68,119,5,6,12,4258,0,25,2,1210,16,2802,115,160,1657,16,1999,631,3606,111,331,142,73,40,159,612,166,2505,10,14,120,717
