core: id,core: location,core: agg,core: type,core: year,Age: Age_Bracket,Age: Numerical_Bracket,Population: Males,Population: Females,Population: Total
1,Choiseul,Province,Total,2010,0-4,0,"2,279","2,060","4,339"
1,Choiseul,Province,Total,2010,5-9,5,"2,131","2,002","4,133"
1,Choiseul,Province,Total,2010,10-14,10,"1,778","1,640","3,418"
1,Choiseul,Province,Total,2010,15-19,15,"1,379","1,342","2,721"
1,Choiseul,Province,Total,2010,20-24,20,"1,192","1,083","2,275"
1,Choiseul,Province,Total,2010,25-29,25,"1,118",954,"2,072"
1,Choiseul,Province,Total,2010,30-34,30,978,938,"1,916"
1,Choiseul,Province,Total,2010,35-39,35,910,931,"1,841"
1,Choiseul,Province,Total,2010,40-44,40,705,726,"1,431"
1,Choiseul,Province,Total,2010,45-49,45,591,556,"1,147"
1,Choiseul,Province,Total,2010,50-54,50,429,406,835
1,Choiseul,Province,Total,2010,55-59,55,337,368,706
1,Choiseul,Province,Total,2010,60-64,60,244,265,509
1,Choiseul,Province,Total,2010,65-69,65,223,261,483
1,Choiseul,Province,Total,2010,70-74,70,145,166,311
1,Choiseul,Province,Total,2010,75-79,75,87,120,207
1,Choiseul,Province,Total,2010,80+,80,69,67,136
1,Choiseul,Province,Total,2011,0-4,0,"2,280","2,085","4,366"
1,Choiseul,Province,Total,2011,5-9,5,"2,179","2,032","4,211"
1,Choiseul,Province,Total,2011,10-14,10,"1,855","1,725","3,580"
1,Choiseul,Province,Total,2011,15-19,15,"1,450","1,392","2,842"
1,Choiseul,Province,Total,2011,20-24,20,"1,212","1,134","2,345"
1,Choiseul,Province,Total,2011,25-29,25,"1,133",970,"2,103"
1,Choiseul,Province,Total,2011,30-34,30,"1,008",939,"1,946"
1,Choiseul,Province,Total,2011,35-39,35,921,942,"1,863"
1,Choiseul,Province,Total,2011,40-44,40,751,777,"1,528"
1,Choiseul,Province,Total,2011,45-49,45,604,582,"1,186"
1,Choiseul,Province,Total,2011,50-54,50,461,431,892
1,Choiseul,Province,Total,2011,55-59,55,345,370,715
1,Choiseul,Province,Total,2011,60-64,60,258,286,543
1,Choiseul,Province,Total,2011,65-69,65,218,253,471
1,Choiseul,Province,Total,2011,70-74,70,158,187,344
1,Choiseul,Province,Total,2011,75-79,75,89,117,206
1,Choiseul,Province,Total,2011,80+,80,72,79,151
1,Choiseul,Province,Total,2012,0-4,0,"2,282","2,115","4,397"
1,Choiseul,Province,Total,2012,5-9,5,"2,215","2,046","4,262"
1,Choiseul,Province,Total,2012,10-14,10,"1,929","1,810","3,739"
1,Choiseul,Province,Total,2012,15-19,15,"1,529","1,443","2,971"
1,Choiseul,Province,Total,2012,20-24,20,"1,237","1,189","2,426"
1,Choiseul,Province,Total,2012,25-29,25,"1,146",992,"2,137"
1,Choiseul,Province,Total,2012,30-34,30,"1,040",941,"1,981"
1,Choiseul,Province,Total,2012,35-39,35,928,945,"1,873"
1,Choiseul,Province,Total,2012,40-44,40,800,829,"1,629"
