SINSO_CID,adm2_pcode,adm2_name,adm1_pcode,adm1_name,adm0_pcode,Country,T_TL,T_00,T_01_04,T_04_14,T_00_14,T_10_19,T_15_19,T_15_24,T_15_59,T_25_59,T_15Plus,T_60Plus,T_75Plus,M_TL,M_00,M_00_04,M_05_14,M_00_14,M_10_19,M_15_19,M_15_24,M_15_59,M_25_59,M_15Plus,M_60Plus,M_75Plus,F_TL,F_00,F_01_04,F_05_14,F_0_14,F_10_19,F_15_19,F_15_24,F_15_59,F_25_59,F_15Plus,F_60Plus,F_75Plus
101,SB010101,South Choiseul,SB01,Choiseul,SB,Solomon Islands,8435,265,962,2262,3489,1836,778,1411,4423,3012,4946,523,108,4307,148,518,1222,1888,960,380,696,2185,1489,2419,234,45,4128,117,444,1040,1601,876,398,715,2238,1523,2527,289,63
102,SB010102,North West Choiseul,SB01,Choiseul,SB,Solomon Islands,11955,393,1540,3244,5177,2671,1187,2105,6156,4051,6778,622,136,6147,183,827,1682,2692,1354,587,1042,3130,2088,3455,325,76,5808,210,713,1562,2485,1317,600,1063,3026,1963,3323,297,60
103,SB010103,East Choiseul,SB01,Choiseul,SB,Solomon Islands,5982,163,712,1598,2473,1261,541,983,3181,2198,3509,328,70,3078,80,391,805,1276,652,279,512,1653,1141,1802,149,32,2904,83,321,793,1197,609,262,471,1528,1057,1707,179,38
204,SB020204,Shortland Islands,SB02,Western,SB,Solomon Islands,3703,113,426,1047,1586,833,344,611,1893,1282,2117,224,51,1881,60,242,558,860,459,180,306,917,611,1021,104,25,1822,53,184,489,726,374,164,305,976,671,1096,120,26
205,SB020205,North Vella la Vella,SB02,Western,SB,Solomon Islands,4800,150,576,1272,1998,1130,555,935,2534,1599,2802,268,67,2461,77,316,658,1051,599,296,483,1276,793,1410,134,37,2339,73,260,614,947,531,259,452,1258,806,1392,134,30
206,SB020206,South Vella la Vella,SB02,Western,SB,Solomon Islands,3558,108,416,913,1437,893,475,750,1943,1193,2121,178,35,1837,59,205,467,731,458,238,379,1012,633,1106,94,19,1721,49,211,446,706,435,237,371,931,560,1015,84,16
207,SB020207,Ranongga-Simbo,SB02,Western,SB,Solomon Islands,8142,247,962,2142,3351,1729,767,1377,4218,2841,4791,573,155,4153,131,517,1082,1730,891,395,707,2127,1420,2423,296,76,3989,116,445,1060,1621,838,372,670,2091,1421,2368,277,79
208,SB020208,Gizo-Kolombangara,SB02,Western,SB,Solomon Islands,13478,396,1502,3299,5197,2955,1393,2523,7781,5258,8281,500,98,7270,218,781,1737,2736,1548,740,1335,4236,2901,4534,298,60,6208,178,721,1562,2461,1407,653,1188,3545,2357,3747,202,38
209,SB020209,West New Georgia-Vonavona,SB02,Western,SB,Solomon Islands,13495,443,1455,3302,5200,2906,1376,2529,7586,5057,8295,709,153,7025,228,756,1753,2737,1510,673,1250,3924,2674,4288,364,81,6470,215,699,1549,2463,1396,703,1279,3662,2383,4007,345,72
210,SB020210,North New Georgia,SB02,Western,SB,Solomon Islands,4021,109,410,954,1473,969,495,826,2334,1508,2548,214,34,2086,60,202,510,772,503,245,413,1205,792,1314,109,13,1935,49,208,444,701,466,250,413,1129,716,1234,105,21
